Country.name,iso3,"Very or moderately concerned about COVID-19 vaccine side effects, among unvaccinated",Less.than.secondary.education,Secondary.education,At.least.Second,Four.year.degree,Postgraduate.education,COVID.19.deaths.per.100.000.population.in.2020,Index.of.institutional.trust,Gini.coefficient.of.income,Regional.indicator,Ladder.score,Logged.GDP.per.capita,Social.support,Healthy.life.expectancy,Freedom.to.make.life.choices,Generosity,Perceptions.of.corruption,Ladder.score.in.Dystopia,Explained.by..Log.GDP.per.capita,Explained.by..Social.support,Explained.by..Healthy.life.expectancy,Explained.by..Freedom.to.make.life.choices,Explained.by..Generosity,Explained.by..Perceptions.of.corruption
Denmark,DNK,40.01365869,0.256662177,0.145010875,0.401673052,0.453831133,0.144495815,22.40939903,0.57176137,27.8,Western Europe,7.61950016,10.93317604,0.95440954,72.69975281,0.945638537,0.030108893,0.178838447,2.430342913,1.501548052,1.108007669,0.762862444,0.686160326,0.207614571,0.484992683
Ecuador,ECU,52.14408319,0.40158049,0.223787943,0.625368433,0.331632757,0.04299881,79.54399872,0.205287486,45.4,Latin America and Caribbean,5.763999939,9.312904358,0.820514739,68.79994202,0.842187166,-0.123674773,0.842504561,2.430342913,0.935471117,0.806356072,0.640038192,0.560277283,0.107295394,0.061756402
Egypt,EGY,58.82805277,0.140480648,0.171574898,0.312055545,0.517626878,0.170317577,7.45690012,0.445924312,31.56,Middle East and North Africa,4.282700062,9.366633415,0.749776661,61.997715,0.748563468,-0.182113841,0.794777513,2.430342913,0.954242527,0.646990299,0.425802499,0.44635278,0.069173284,0.092193119
France,FRA,71.51586011,0.086110717,0.439061399,0.525172117,0.42410019,0.050727694,99.21179962,0.234134093,29.3,Western Europe,6.689899921,10.70389271,0.942347348,73.99979401,0.821860611,-0.146519169,0.570747912,2.430342913,1.421442866,1.08083272,0.803807199,0.535543203,0.092393093,0.235062331
Germany,DEU,71.49491294,0.380873922,0.359708715,0.740582637,0.182574754,0.07684261,40.33110046,0.435435176,31.1,Western Europe,7.154500008,10.87254715,0.903166473,72.50009918,0.875169933,0.010640331,0.460144967,2.430342913,1.480365992,0.992562175,0.756574392,0.600411832,0.194914445,0.30559656
Ghana,GHA,69.65884459,0.217954058,0.153155261,0.371109319,0.441830706,0.187059974,1.078099966,0.305117518,43.52,Sub-Saharan Africa,5.088399887,8.580243111,0.72675705,57.58634567,0.806505084,0.123355247,0.848191381,2.430342913,0.679500103,0.59512943,0.286866724,0.516858101,0.268442839,0.058129776
Greece,GRC,65.82659463,0.086510364,0.37619327,0.462703634,0.419975841,0.117320525,46.41629791,0.124216452,32.3,Western Europe,5.722599983,10.27879333,0.822767079,72.60015106,0.581765294,-0.288152605,0.823148012,2.430342913,1.272925258,0.811430395,0.759725511,0.243387148,0,0.074100554
Guatemala,GTM,48.1608349,0.216903002,0.366412614,0.583315616,0.382996287,0.033688097,26.86489868,0.286055684,44.488,Latin America and Caribbean,6.434500217,9.053407669,0.813290834,64.95813751,0.905815482,-0.037600774,0.775323868,2.430342913,0.844810367,0.790081382,0.519040823,0.637702286,0.163444862,0.104599193
Honduras,HND,48.34699828,0.384332044,0.247749559,0.632081603,0.333267057,0.03465134,31.60150146,0.208718956,48.1,Latin America and Caribbean,5.919199944,8.648223877,0.811923206,67.29987335,0.857031584,0.080982536,0.808754802,2.430342913,0.703250647,0.787000239,0.592793643,0.578340471,0.240801468,0.083279461
Hungary,HUN,69.18656311,0.489619198,0.243110342,0.732729541,0.234080689,0.03318977,98.72309875,0.252598107,28.7,Central and Eastern Europe,5.991600037,10.35823345,0.943472028,68.00016785,0.754925728,-0.186177924,0.87618053,2.430342913,1.300679445,1.083366513,0.614849329,0.454094589,0.066522121,0.040280405
India,IND,39.90411823,0.100826912,0.150822974,0.251649886,0.44012678,0.308223333,10.77810001,0.526049078,39.334375,South Asia,3.818900108,8.75518322,0.602961242,60.63299942,0.893129587,0.089326702,0.773709118,2.430342913,0.740619242,0.31622985,0.382820874,0.622265697,0.246244699,0.105628952
